[17:01:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:01:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:13] [Worker-Main-2/INFO]: Loaded 7 recipes
[17:01:14] [Worker-Main-2/INFO]: Loaded 1141 advancements
[17:01:17] [Server thread/INFO]: Starting minecraft server version 1.18.2
[17:01:17] [Server thread/INFO]: Loading properties
[17:01:17] [Server thread/INFO]: Default game type: SURVIVAL
[17:01:17] [Server thread/INFO]: Generating keypair
[17:01:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:01:17] [Server thread/INFO]: Using epoll channel type
[17:01:17] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:01:17] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:01:17] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:01:17] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:01:17] [Server thread/INFO]: Preparing level "world"
[17:01:32] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:01:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
